id,task,framework,constraint,fold,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,auc,balacc,logloss,mae,models,models_ensemble_count,r2,rmse,tag
openml.org/t/14965,bank-marketing,H2OAutoML_pull_5274,1h8c,0,0.937641,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:34:47,3194.9,3108.5,1.6,165,437619949,,0.904688,0.937641,0.836156,0.212665,,,,,,
openml.org/t/14965,bank-marketing,H2OAutoML_pull_5274_exclude_dl,1h8c,0,0.938923,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:22:16,2396.8,2306.2,0.5,188,1147936299,,0.903361,0.938923,0.848524,0.210464,,,,,,
openml.org/t/190411,ada,H2OAutoML_pull_5274,1h8c,1,0.938153,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:21:45,2516.7,2487.6,0,54,437619950,,0.879518,0.938153,0.822318,0.271147,,,,,,
openml.org/t/190411,ada,H2OAutoML_pull_5274_exclude_dl,1h8c,1,0.937609,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T08:42:44,132.1,104.8,0.1,50,1147936300,,0.877108,0.937609,0.843478,0.275371,,,,,,
openml.org/t/7592,adult,H2OAutoML_pull_5274,1h8c,1,0.926792,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:30:03,3080.5,3002.7,0.3,138,437619950,,0.867554,0.926792,0.834083,0.276215,,,,,,
openml.org/t/7592,adult,H2OAutoML_pull_5274_exclude_dl,1h8c,1,0.927705,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T08:59:56,1197,1137.4,0.7,94,1147936300,,0.873286,0.927705,0.826124,0.290368,,,,,,
openml.org/t/189354,Airlines,H2OAutoML_pull_5274,1h8c,1,0.732532,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:39:45,3639.3,3492.8,11.5,36,437619950,,0.604331,0.732532,0.629558,0.598413,,,,,,
openml.org/t/189354,Airlines,H2OAutoML_pull_5274_exclude_dl,1h8c,1,0.733617,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:35:08,3309.8,3199.4,2.9,39,1147936300,,0.616919,0.733617,0.638255,0.597542,,,,,,
openml.org/t/189356,Albert,H2OAutoML_pull_5274,1h8c,1,0.743423,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:53:03,4250.1,3884.6,2.3,12,437619950,,0.647822,0.743423,0.647822,0.597588,,,,,,
openml.org/t/189356,Albert,H2OAutoML_pull_5274_exclude_dl,1h8c,1,0.76315,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:41:43,3675.9,3304,1.6,17,1147936300,,0.669669,0.76315,0.669669,0.580265,,,,,,
openml.org/t/34539,Amazon_employee_access,H2OAutoML_pull_5274,1h8c,1,0.873783,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:44:00,3824.6,3604.6,24.3,192,437619950,,0.955752,0.873783,0.69091,0.148037,,,,,,
openml.org/t/34539,Amazon_employee_access,H2OAutoML_pull_5274_exclude_dl,1h8c,1,0.876694,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:33:35,3151.4,3035.8,0.7,247,1147936300,,0.954837,0.876694,0.695391,0.148142,,,,,,
openml.org/t/168868,APSFailure,H2OAutoML_pull_5274,1h8c,1,0.988616,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:38:11,3434.5,3358.3,0.3,38,437619950,,0.992237,0.988616,0.856324,0.0232537,,,,,,
openml.org/t/168868,APSFailure,H2OAutoML_pull_5274_exclude_dl,1h8c,1,0.990179,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:36:48,3259.7,3189,0.3,36,1147936300,,0.993289,0.990179,0.867608,0.0221733,,,,,,
openml.org/t/190412,arcene,H2OAutoML_pull_5274,1h8c,1,0.958333,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:35:35,3278.8,3195.3,0.6,94,437619950,,0.6,0.958333,0.5,0.357312,,,,,,
openml.org/t/190412,arcene,H2OAutoML_pull_5274_exclude_dl,1h8c,1,0.958333,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:21:13,2364.7,2313.8,0.6,36,1147936300,,0.6,0.958333,0.5,0.357312,,,,,,
openml.org/t/146818,Australian,H2OAutoML_pull_5274,1h8c,1,0.909168,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:22:08,2458.8,2431.4,0.2,55,437619950,,0.826087,0.909168,0.818336,0.373167,,,,,,
openml.org/t/146818,Australian,H2OAutoML_pull_5274_exclude_dl,1h8c,1,0.91511,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T08:42:38,47.9,27.1,0.3,29,1147936300,,0.84058,0.91511,0.834465,0.341995,,,,,,
openml.org/t/14965,bank-marketing,H2OAutoML_pull_5274,1h8c,1,0.936861,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:35:32,3228.2,3146.2,0.9,163,437619950,,0.899801,0.936861,0.844666,0.215783,,,,,,
openml.org/t/14965,bank-marketing,H2OAutoML_pull_5274_exclude_dl,1h8c,1,0.935595,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:28:20,2745.9,2649.6,0.5,205,1147936300,,0.895156,0.935595,0.84861,0.214815,,,,,,
openml.org/t/190411,ada,H2OAutoML_pull_5274,1h8c,2,0.895631,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:20:29,2494.7,2467.5,0.2,54,437619951,,0.848193,0.895631,0.798233,0.335395,,,,,,
openml.org/t/190411,ada,H2OAutoML_pull_5274_exclude_dl,1h8c,2,0.89893,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T08:40:59,97.9,75.1,0.1,33,1147936301,,0.840964,0.89893,0.816187,0.338101,,,,,,
openml.org/t/7592,adult,H2OAutoML_pull_5274,1h8c,2,0.929622,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:25:08,2750.6,2693.9,0.2,87,437619951,,0.871622,0.929622,0.813194,0.290282,,,,,,
openml.org/t/7592,adult,H2OAutoML_pull_5274_exclude_dl,1h8c,2,0.931209,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:20:18,2380.1,2285.7,0.8,185,1147936301,,0.86896,0.931209,0.829643,0.287685,,,,,,
openml.org/t/189354,Airlines,H2OAutoML_pull_5274,1h8c,2,0.73175,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:38:44,3445.8,3324.7,5.1,37,437619951,,0.617512,0.73175,0.638598,0.598945,,,,,,
openml.org/t/189354,Airlines,H2OAutoML_pull_5274_exclude_dl,1h8c,2,0.731284,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:35:30,3309.9,3197.9,4.1,37,1147936301,,0.615807,0.731284,0.637199,0.599206,,,,,,
openml.org/t/189356,Albert,H2OAutoML_pull_5274,1h8c,2,0.746248,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:50:32,4277.9,3909.4,2.2,12,437619951,,0.649092,0.746248,0.649092,0.594993,,,,,,
